,Year,Tropicalstorms,Hurricanes,Majorhurricanes,ACE,Deaths,Strongeststorm,Major landfalling storms,Notes
0,1880,11,9,2,131.08,133,4 Eight,4 Hurricane Two,
1,1881,7,4,0,59.25,700,"2 ""Georgia""","2 ""Georgia""",
2,1882,6,5,2,59.47,6,"4 ""Cuba""","3 ""Pensacola"" 4 ""Cuba""",
3,1883,4,3,2,66.7,236,3 Two,"3 ""Bahamas-North Carolina""",
4,1884,4,4,1,72.06,8,3 Two,,
5,1885,8,6,1,58.3,25,2 Two,,
6,1886,12,10,4,166.17,200+,"4 ""Indianola""","4 ""Indianola"" 3 ""Cuba"" 3 ""Texas-Louisiana""","Seven hurricanes struck the United States, the most during a single year.[17]Record-tying 3 tropical storms formed in June (tied with 1909, 1936, 1968, and 2021)."
7,1887,19,11,2,181.26,2,3 Seven,,"Tied for fifth most active season on record with 1995, 2010, 2011, and 2012.Record five off-season storms, including both pre-season and post-season storms."
8,1888,9,6,2,84.95,924,"3 ""San Gil""","3 ""Louisiana"" 3 ""San Gil""",
9,1889,9,6,0,104.04,40,2 Six,,
