,Name,Season,Months,Max. sustained winds,Max. sustained winds,Max. sustained winds,Minimum pressure,Minimum pressure
,Name,Season,Months,(Knots),(km/h),(mph),(mbar),Unnamed: 7_level_1
0,Hurricane #4,1906,"August, September",115,215,130,950,
1,1910 Cuba hurricane,1910,October,130,240,150,924,
2,1915 Galveston hurricane,1915,August,125,230,145,940,
3,1915 New Orleans hurricane,1915,"September, October",125,230,145,931,
4,1916 Texas hurricane,1916,August,115,215,130,932,
5,1917 Nueva Gerona hurricane,1917,September,130,240,150,928,
6,1919 Florida Keys hurricane,1919,September,130,240,150,927,
7,1921 Tampa Bay hurricane,1921,October,120,220,140,941,
8,1926 Nassau hurricane,1926,"July, August",120,220,140,≤ 967,
9,Hurricane #4,1926,September,120,220,140,≤ 957,
10,1926 Miami hurricane,1926,September,130,240,150,930,
11,1926 Havana–Bermuda hurricane,1926,October,130,240,150,934,
12,1929 Bahamas hurricane,1929,"September, October",135,250,155,924,
13,1930 Dominican Republic hurricane,1930,"August, September",135,250,155,933,
14,1931 British Honduras hurricane,1931,September,115,215,130,≤ 952,
15,1932 Freeport hurricane,1932,August,130,240,150,935,
16,1932 San Ciprián hurricane,1932,September,125,230,145,943,
17,1933 Chesapeake–Potomac hurricane,1933,August,120,220,140,≤ 940,
18,1933 Treasure Coast hurricane,1933,"August, September",120,220,140,945,
19,1933 Outer Banks hurricane,1933,September,120,220,140,≤ 947,
20,Hurricane #2,1935,August,115,215,130,≤ 955,
21,1935 Cuba hurricane,1935,"September, October",120,220,140,≤ 945,
22,Hurricane #5,1939,October,120,220,140,≤ 941,
23,Hurricane #4,1941,September,115,215,130,≤ 957,
24,Hurricane #3,1943,August,120,220,140,–,
25,1944 Great Atlantic hurricane,1944,September,125,230,145,≤ 933,
26,1944 Cuba–Florida hurricane,1944,October,125,230,145,937,
27,1945 Homestead hurricane,1945,September,115,215,130,949,
28,1947 Fort Lauderdale hurricane,1947,September,125,230,145,938,
29,1948 Bermuda–Newfoundland hurricane,1948,September,115,215,130,940,
30,September 1948 Florida hurricane,1948,September,115,215,130,940,
31,1949 Florida hurricane,1949,August,115,215,130,954,
32,Hurricane Dog,1950,September,125,230,145,943,
33,Hurricane Fox,1950,September,120,220,140,946,
34,Hurricane King,1950,October,115,215,130,955,
35,Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],Sources: Atlantic Hurricane Best Track File 1851–2012[15],
