,0,1,2,3,4,5,6
0,Name,Year,Category 4,Category 3,Category 2,Category 1,Tropical storm
1,"""Last Island""",1856,Louisiana,,,,
2,"""Unnamed""",1866,Bahamas,,,,
3,"""Unnamed""",1878,,,,Haiti & Turks and Caicos Islands,
4,"""Unnamed""",1880,Texas,,Quintana Roo,,Guadeloupe
5,"""Unnamed""",1882,Cuba,,,Florida,
6,Indianola,1886,Texas,,Dominican Republic & Cuba,,
7,Cheniere Caminada,1893,Louisiana,,Quintana Roo & Mississippi,,
8,Unnamed,1894,,,Saint Lucia,,
9,Georgia,1898,Georgia,,,,
10,San Ciriaco,1899,Guadeloupe & Puerto Rico,Bahamas & North Carolina,,,
11,Galveston (1900),1900,Texas,,,,"Antigua, Nevis, Dominican Republic & Cuba"
12,Unnamed,1910,,Cuba,Florida,,
13,Galveston (1915),1915,Texas,Jamaica,,Guadeloupe,
14,New Orleans,1915,,Louisiana,,,
15,Florida Keys,1919,,Bahamas & Texas,,,Puerto Rico
16,Tampa Bay,1921,,Florida,,,
17,Nassau,1926,Bahamas,,Florida,,
18,Miami,1926,Bahamas & Florida,Alabama,,,
19,Unnamed,1926,Cuba,Bermuda,,,
20,Unnamed,1929,Bahamas,,Florida,,Florida
21,San Zenón,1930,Dominican Republic,,,Guadeloupe,Cuba & Florida
22,Unnamed,1932,Texas,,,,
23,San Ciprián,1932,Puerto Rico,,Dominican Republic,,Belize
24,Chesapeake–Potomac,1933,,,North Carolina,,
25,Treasure Coast,1933,Bahamas,Florida,,,
26,Outer Banks,1933,,,North Carolina,Nova Scotia,
27,Great Atlantic hurricane,1944,,,New York & Rhode Island,,
28,Unnamed,1945,Florida,Bahamas,,,South Carolina
29,Unnamed,1948,Florida,Cuba,,,
30,Unnamed,1949,Florida,Bahamas,,,
31,Charlie,1951,Quintana Roo,Tamaulipas,Jamaica,,Dominica
32,Fox,1952,Cuba,,,Bahamas,Bahamas
33,Hazel,1954,North Carolina,,Haiti & Turks and Caicos Islands,,
34,Connie,1955,,,North Carolina,,
35,Carrie,1957,,,,Azores,
36,Helene,1958,,North Carolina,,Newfoundland,
37,Gracie,1959,South Carolina,,,,
38,Donna,1960,Florida,"Barbuda, Anguilla, & Bahamas","North Carolina, New York & Connecticut",,
39,Carla,1961,Texas,,,,
40,Flora,1963,Haiti,Tobago & Cuba,,Cuba,
41,Cleo,1964,Guadeloupe & Haiti,,Florida,Cuba,Georgia
42,Dora,1964,,Florida,,,
43,Hilda,1964,,Louisiana,,,
44,Betsy,1965,Louisiana,Bahamas & Florida,,,
45,Celia,1970,Texas,,,,
46,Carmen,1974,Quintana Roo,Louisiana,,,
47,Greta,1978,Honduras,,Belize,,
48,Frederic,1979,Alabama,,,,"Puerto Rico, Dominican Republic & Cuba"
49,Diana,1984,,,North Carolina,,
50,Gloria,1985,,,North Carolina,New York & Connecticut,
51,Joan,1988,Nicaragua,,,,"Grenada, Colombia & Venezuela"
52,Luis,1995,Barbuda,,,Newfoundland,
53,Opal,1995,,Florida,,,Yucatán Peninsula
54,Hortense,1996,,,,Puerto Rico & Nova Scotia,Guadeloupe
55,Georges,1998,,"Antigua, Saint Kitts, Puerto Rico & Dominican Republic",Florida & Mississippi,Cuba,
56,Bret,1999,,Texas,,,
57,Floyd,1999,Bahamas,Bahamas,North Carolina,,"Virginia, New Jersey, New York & Connecticut"
58,Lenny,1999,,Saint Martin,Anguilla,Saint Barthélemy,Antigua
59,Keith,2000,,,,Belize & Tamaulipas,
60,Iris,2001,Belize,,,,
61,Michelle,2001,Cuba,,,Bahamas,
62,Lili,2002,,,Cuba,Cayman Islands & Louisiana,
63,Charley,2004,Florida,Cuba,,South Carolina,
64,Frances,2004,,Bahamas,Bahamas & Florida,,Florida
65,Dennis,2005,Cuba,Florida,,,
66,Gustav,2008,Cuba (2x),,Louisiana,Haiti,Jamaica
67,Ike,2008,Cuba,Bahamas,Texas,Cuba,
68,Paloma,2008,,,Cuba,,
69,Bill,2009,,,,,Newfoundland
70,Earl,2010,,,,Nova Scotia,Prince Edward Island
71,Igor,2010,,,,Newfoundland,
72,Gonzalo,2014,,,Bermuda,"Antigua, Saint Martin & Anguilla",
73,Joaquin,2015,Bahamas,Bahamas (2x),,,
74,Harvey,2017,Texas,Texas,,,"Barbados, Saint Vincent & Louisiana"
75,Florence,2018,,,,North Carolina,
76,Laura,2020,Louisiana,,,,"Antigua, Nevis, Dominican Republic & Cuba (2x)"
77,Delta,2020,,,Quintana Roo & Louisiana,,
78,Eta,2020,Nicaragua,,,,Cuba & Florida (2x)
79,Iota,2020,Nicaragua,,,,
80,Ida,2021,Louisiana,,,Cuba,
